CSRTSV3  2021-05-03 09:43:23.969| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysSemProcess</cmp>, <id>0x00000119</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.969| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysShm</cmp>, <id>0x00000110</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.969| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysSocket</cmp>, <id>0x00000111</id> <ver>3.5.16.10</ver>
CSRTSV3  2021-05-03 09:43:23.969| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysTarget</cmp>, <id>0x00000112</id> <ver>3.5.16.20</ver>
CSRTSV3  2021-05-03 09:43:23.969| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysTask</cmp>, <id>0x00000114</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.969| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysTime</cmp>, <id>0x00000115</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.970| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysTimeRtc</cmp>, <id>0x00000127</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.970| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysTimer</cmp>, <id>0x00000116</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.970| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System|Dynamic: <cmp>SysKArea</cmp>, <id>0x100b0018</id> <ver>4.3.2.3</ver>
CSRTSV3  2021-05-03 09:43:23.970| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System|Dynamic: <cmp>SysKTarget</cmp>, <id>0x100b001b</id> <ver>4.3.2.3</ver>
CSRTSV3  2021-05-03 09:43:23.970| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System|Dynamic: <cmp>SysKBinFramework</cmp>, <id>0x100b001e</id> <ver>4.3.2.3</ver>
CSRTSV3  2021-05-03 09:43:23.970| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System|Dynamic: <cmp>SysSFDL</cmp>, <id>0x100b0011</id> <ver>4.3.2.3</ver>
CSRTSV3  2021-05-03 09:43:23.970| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpAlarmManager</cmp>, <id>0x0000007c</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.970| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpApp</cmp>, <id>0x00000002</id> <ver>3.5.16.20</ver>
CSRTSV3  2021-05-03 09:43:23.970| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpAppBP</cmp>, <id>0x00000073</id> <ver>3.5.16.10</ver>
CSRTSV3  2021-05-03 09:43:23.970| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpAppForce</cmp>, <id>0x00000074</id> <ver>3.5.16.10</ver>
CSRTSV3  2021-05-03 09:43:23.970| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpAsyncMgr</cmp>, <id>0x0000005f</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.970| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpBinTagUtil</cmp>, <id>0x00000004</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.971| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpBinTagUtilIec</cmp>, <id>0x0000005c</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.971| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpBlkDrvTcp</cmp>, <id>0x00000030</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.971| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpBlkDrvUdp</cmp>, <id>0x00000007</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.971| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAAAsyncMan</cmp>, <id>0x00004007</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.971| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAABehaviourModel</cmp>, <id>0x00004015</id> <ver>3.5.16.0</ver>
